pitch,yaw,fixation_start_time,fixation_end_time,fixation_duration,fixation_number,ppid,run,event.order,event.x,n_back,trialid
-3.70248192002514,6.55374909171417,1676040025.79355,1676040025.96745,173.89988899,36,9,2,3,6,FALSE,9_FALSE_6_3
-3.62507532190296,7.69341944200889,1676040025.98921,1676040026.2066,217.39006042,37,9,2,3,6,FALSE,9_FALSE_6_3
-4.03230507479219,6.08839277050891,1676040026.22831,1676040026.40227,173.95997047,38,9,2,3,6,FALSE,9_FALSE_6_3
-3.06526690817039,4.09258023483996,1676040027.57621,1676040027.837,260.78987122,39,9,2,3,6,FALSE,9_FALSE_6_3
-6.31158847960212,5.51156751026096,1676040029.83698,1676040029.98914,152.15992928,40,9,2,3,6,FALSE,9_FALSE_6_3
-8.14476694512319,3.80544243581015,1676040030.35884,1676040030.5326,173.75993729,41,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040030.88043,1676040031.05436,173.92992973,42,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040033.3804,1676040033.57615,195.74999809,43,9,2,3,6,FALSE,9_FALSE_6_3
-8.04052682359572,36.9001531333275,1676040034.46737,1676040034.72822,260.8499527,44,9,2,3,6,FALSE,9_FALSE_6_3
-2.30585636883696,8.68430493057517,1676040035.16297,1676040035.59776,434.78989601,45,9,2,3,6,FALSE,9_FALSE_6_3
-18.6149403975643,9.78317795748612,1676040035.92385,1676040036.1196,195.74999809,46,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040036.59774,1676040036.88037,282.62996674,47,9,2,3,6,FALSE,9_FALSE_6_3
-7.52019997659596,36.4411184464618,1676040037.51088,1676040037.72818,217.2999382,48,9,2,3,6,FALSE,9_FALSE_6_3
-12.1240161280863,-40.7992932672347,1676040040.01076,1676040040.16294,152.17995644,49,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040040.18464,1676040040.40205,217.41008759,50,9,2,3,6,FALSE,9_FALSE_6_3
-2.0849074728118,9.26683316716252,1676040040.66296,1676040040.88031,217.3500061,51,9,2,3,6,FALSE,9_FALSE_6_3
-2.5778517118526,8.10600635028259,1676040040.90203,1676040041.11943,217.40007401,52,9,2,3,6,FALSE,9_FALSE_6_3
-9.05101428968161,38.8478563127986,1676040041.66296,1676040041.81516,152.1999836,53,9,2,3,6,FALSE,9_FALSE_6_3
-4.10140378488497,5.29856090062449,1676040042.44552,1676040042.64137,195.8501339,54,9,2,3,6,FALSE,9_FALSE_6_3
-18.2782703971455,11.0031960892514,1676040042.90201,1676040043.07593,173.92015457,55,9,2,3,6,FALSE,9_FALSE_6_3
-10.0418493033945,39.5067068476173,1676040044.72807,1676040045.05418,326.10988617,56,9,2,3,6,FALSE,9_FALSE_6_3
-10.6902465415509,38.9563458713066,1676040045.0759,1676040045.24981,173.90990257,57,9,2,3,6,FALSE,9_FALSE_6_3
-3.05749760046842,7.49930707059651,1676040046.01066,1676040046.2498,239.14003372,58,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040047.01065,1676040047.22823,217.58008003,59,9,2,3,6,FALSE,9_FALSE_6_3
-4.59265779843014,39.2213102036649,1676040047.77149,1676040047.92375,152.25982666,60,9,2,3,6,FALSE,9_FALSE_6_3
-2.33435419821859,6.24902148837384,1676040048.51063,1676040048.77149,260.8602047,61,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040051.66276,1676040051.94536,282.59992599,62,9,2,3,6,FALSE,9_FALSE_6_3
-4.29731078743565,15.8206506955022,1676040054.01059,1676040054.33665,326.05981827,63,9,2,3,6,FALSE,9_FALSE_6_3
-2.00597435142117,8.9412846868027,1676040056.01054,1676040056.29314,282.59992599,64,9,2,3,6,FALSE,9_FALSE_6_3
-1.11033491118402,8.56388557226139,1676040056.31488,1676040056.55402,239.14003372,65,9,2,3,6,FALSE,9_FALSE_6_3
-1.2959274001828,8.33308671322679,1676040056.57573,1676040056.81489,239.15982246,66,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040057.61918,1676040057.77139,152.20999718,67,9,2,3,6,FALSE,9_FALSE_6_3
-3.25837660344128,7.71650391157471,1676040059.88017,1676040060.11935,239.17984962,68,9,2,3,6,FALSE,9_FALSE_6_3
-2.17776483280933,8.84713044138317,1676040060.59746,1676040061.1192,521.73995972,69,9,2,3,6,FALSE,9_FALSE_6_3
-2.46584857392444,9.52970030547359,1676040061.51046,1676040062.01046,500,70,9,2,3,6,FALSE,9_FALSE_6_3
