trialid,trialid_critical,e,e.norm,n_back,ppid,run,event.order,event.x,critical,lead,fixation_number,gte.e,gte.norm,h_max
11_FALSE_8_FALSE,11_FALSE_8_FALSE_FALSE,1.45803735579046,0.343243238008655,FALSE,11,2,4,8,FALSE,FALSE,256,0.892686336882319,0.21015137066324,4.24782543204448
11_FALSE_9_TRUE,11_FALSE_9_TRUE_FALSE,2.0365452343481,0.479432421818688,FALSE,11,2,5,9,FALSE,TRUE,158,0.741437067929658,0.174545088961625,4.24782543204448
11_TRUE_10_FALSE,11_TRUE_10_FALSE_FALSE,1.47917459678689,0.348219252521157,TRUE,11,1,6,10,FALSE,FALSE,197,0.950116794697471,0.22367133722823,4.24782543204448
11_TRUE_1_3,11_TRUE_1_3_TRUE,0.562444242923498,0.132407569925206,TRUE,11,1,1,1,TRUE,TRUE,178,0.4969408236897,0.116987110614506,4.24782543204448
11_TRUE_2_5,11_TRUE_2_5_TRUE,0.956108635910654,0.225081903954438,TRUE,11,1,2,2,TRUE,TRUE,162,0.710254931839353,0.167204359784038,4.24782543204448
11_TRUE_3_TRUE,11_TRUE_3_TRUE_FALSE,0.996256584796658,0.23453331610126,TRUE,11,1,1,3,FALSE,TRUE,191,0.667649220513259,0.157174354547785,4.24782543204448
11_TRUE_4_5,11_TRUE_4_5_TRUE,1.22414713717494,0.288182072629514,TRUE,11,1,3,4,TRUE,TRUE,114,0.691418939471113,0.162770092729148,4.24782543204448
11_TRUE_5_TRUE,11_TRUE_5_TRUE_FALSE,1.00374505561268,0.236296211242743,TRUE,11,1,2,5,FALSE,TRUE,167,0.798281341935474,0.187927059316856,4.24782543204448
11_TRUE_6_3,11_TRUE_6_3_TRUE,1.6628841433669,0.391467156541448,TRUE,11,1,4,6,TRUE,TRUE,160,0.809368006591902,0.190537021716157,4.24782543204448
11_TRUE_7_FALSE,11_TRUE_7_FALSE_FALSE,0.934872980074432,0.220082721154687,TRUE,11,1,3,7,FALSE,FALSE,270,0.775581576370345,0.182583203753987,4.24782543204448
11_TRUE_8_TRUE,11_TRUE_8_TRUE_FALSE,1.16207435349976,0.273569234915676,TRUE,11,1,4,8,FALSE,TRUE,172,0.751331974297576,0.176874494095196,4.24782543204448
11_TRUE_9_TRUE,11_TRUE_9_TRUE_FALSE,1.95923623867559,0.461232757800174,TRUE,11,1,5,9,FALSE,TRUE,168,0.850578335254904,0.200238533541978,4.24782543204448
12_FALSE_10_3,12_FALSE_10_3_TRUE,2.93620095462781,0.69122448688166,FALSE,12,1,1,10,TRUE,TRUE,72,0.738454246063078,0.173842889232776,4.24782543204448
12_FALSE_1_FALSE,12_FALSE_1_FALSE_FALSE,2.77223131755693,0.652623645181825,FALSE,12,1,1,1,FALSE,FALSE,142,0.818736401168467,0.192742478302459,4.24782543204448
12_FALSE_2_5,12_FALSE_2_5_TRUE,2.3745622519721,0.559006552872683,FALSE,12,1,2,2,TRUE,TRUE,153,0.930983244752254,0.219167020784131,4.24782543204448
12_FALSE_3_TRUE,12_FALSE_3_TRUE_FALSE,2.82374322449128,0.664750298632732,FALSE,12,1,2,3,FALSE,TRUE,143,0.796637912225485,0.187540172017395,4.24782543204448
12_FALSE_4_3,12_FALSE_4_3_TRUE,2.95290978966158,0.695157990106092,FALSE,12,1,3,4,TRUE,TRUE,83,0.710422338863232,0.167243769836677,4.24782543204448
12_FALSE_5_TRUE,12_FALSE_5_TRUE_FALSE,2.93646620969189,0.691286931788665,FALSE,12,1,3,5,FALSE,TRUE,149,0.814912853044631,0.191842359362779,4.24782543204448
12_FALSE_6_5,12_FALSE_6_5_TRUE,2.68173503686571,0.631319502123464,FALSE,12,1,4,6,TRUE,TRUE,149,0.83353774738457,0.196226930865986,4.24782543204448
12_FALSE_7_FALSE,12_FALSE_7_FALSE_FALSE,2.81064792818761,0.661667475076735,FALSE,12,1,4,7,FALSE,FALSE,223,0.826397968627944,0.194546122915931,4.24782543204448
12_FALSE_8_TRUE,12_FALSE_8_TRUE_FALSE,2.29088092349585,0.539306748863559,FALSE,12,1,5,8,FALSE,TRUE,154,0.938827884363922,0.221013763249697,4.24782543204448
12_FALSE_9_TRUE,12_FALSE_9_TRUE_FALSE,2.86203925614062,0.673765742478527,FALSE,12,1,6,9,FALSE,TRUE,140,0.770302330458097,0.181340392344548,4.24782543204448
12_TRUE_10_3,12_TRUE_10_3_TRUE,1.82131745451032,0.428764666450457,TRUE,12,2,2,10,TRUE,TRUE,94,0.98249665350797,0.23129402778567,4.24782543204448
12_TRUE_1_5,12_TRUE_1_5_TRUE,1.1970693847145,0.281807575161663,TRUE,12,2,1,1,TRUE,TRUE,141,0.791734024125493,0.186385725306144,4.24782543204448
12_TRUE_2_FALSE,12_TRUE_2_FALSE_FALSE,1.57020526998441,0.369649199361912,TRUE,12,2,1,2,FALSE,FALSE,252,0.864887053990683,0.203607014418766,4.24782543204448
12_TRUE_3_TRUE,12_TRUE_3_TRUE_FALSE,1.40286552191803,0.330254984429252,TRUE,12,2,2,3,FALSE,TRUE,164,0.890629648335099,0.209667196212072,4.24782543204448
12_TRUE_4_TRUE,12_TRUE_4_TRUE_FALSE,1.50099450864974,0.353355977702528,TRUE,12,2,3,4,FALSE,TRUE,87,0.610568294857488,0.143736672946002,4.24782543204448
